0.000000000000000e+00   0.000000000000000e+00  2.491837828471337e-34  2.705400508596466e-01 -0.000000000000000e+00
1.217311652923492e-06   2.428238706568825e-03 7.974159889513418e-07 2.704156544009667e-01 6.103634818028283e-15
6.086537518545931e-06	1.214112258503029e-02	1.991696619622474e-05	2.699208760516627e-01	3.802941497507657e-12
1.704221791976046e-05	3.399478287675957e-02	1.558269243073249e-04	2.688237995178313e-01	2.321251044048485e-10
3.651878945154508e-05	7.284475059135002e-02	7.129407515753984e-04	2.669271183295633e-01	4.834113562422494e-09
6.695054349292739e-05	1.335454677561239e-01	2.382967092407500e-03	2.640943541699537e-01	5.356674623890733e-08
1.107715847206148e-04	2.209494420224581e-01	6.472616889027630e-03	2.602748986537232e-01	3.904510186719539e-07
1.704157896263991e-04	3.399053677350165e-01	1.516294685602355e-02	2.555185838120835e-01	2.106628516994868e-06
2.470994533848581e-04	4.928259862077134e-01	3.147786345062019e-02	2.500511195651945e-01	8.875385937488031e-06
3.408212691252688e-04	6.796796818649098e-01	5.900614429787816e-02	2.441855653964516e-01	3.030444503597947e-05
4.515796396062921e-04	9.004009550669582e-01	1.018791442722833e-01	2.381567648114076e-01	8.723708576402646e-05
5.793726772437280e-04	1.154859055810308e+00	1.646465866376278e-01	2.320785871533527e-01	2.186595302089250e-04
7.241982041420458e-04	1.442807479391860e+00	2.521145516640063e-01	2.259227974285744e-01	4.892380793146917e-04
8.860537521320211e-04	1.763809898431433e+00	3.691064551630951e-01	2.195320408295693e-01	9.960239915109200e-04
1.064936562812813e-03	2.117141328468705e+00	5.201031027528538e-01	2.126777186929101e-01	1.872760334255759e-03
1.260843587598481e-03	2.501669244973740e+00	7.087381067841111e-01	2.051587884402211e-01	3.290566579758723e-03
1.473771487770281e-03	2.915727280936523e+00	9.371760481474316e-01	1.969132708673659e-01	5.454472057778108e-03
1.703716634533836e-03	3.357001883154072e+00	1.205470758163943e+00	1.880971385840376e-01	8.596102800529431e-03
1.950675109080202e-03	3.822456823807064e+00	1.511059098983770e+00	1.790910526230822e-01	1.296354171056805e-02
2.214642702653591e-03	4.308319093210192e+00	1.848556469323009e+00	1.704244581516681e-01	1.880977939847079e-02
2.495614916622313e-03	4.810141593019660e+00	2.209966491985992e+00	1.626432503777041e-01	2.638117514259645e-02
2.793586962555827e-03	5.322944809227831e+00	2.585312839882998e+00	1.561710735286713e-01	3.590701157585523e-02
3.108553762306454e-03	5.841424806965633e+00	2.963586021449665e+00	1.512133568113058e-01	4.759070928436710e-02
3.440509948095416e-03	6.360202535724958e+00	3.333817356252156e+00	1.477307353815417e-01	6.160276189383659e-02
3.789449862605099e-03	6.874082677448912e+00	3.686073667355170e+00	1.454788737004382e-01	7.807512061056845e-02
4.155367559074530e-03	7.378290333385560e+00	4.012208374466681e+00	1.440897572786853e-01	9.709667719557927e-02
4.538256801401630e-03	7.868659977775718e+00	4.306283914095353e+00	1.431623100631531e-01	1.187096396317425e-01
4.938111064248796e-03	8.341761136417077e+00	4.564664803545496e+00	1.423361294824097e-01	1.429068561789132e-01
5.354923533154365e-03	8.794956422565292e+00	4.785844253327646e+00	1.413352303115699e-01	1.696303822796565e-01
