0.000000000000000e+00 0.000000000000000e+00 -2.342503332230753e-10 2.889096124990210e-01 0.000000000000000e+00
1.371071353273301e-05 7.110185565654703e-02 7.245991798437662e-04 2.851455354129699e-01 4.711428583307734e-09
4.169953934984871e-05 2.162444005069231e-01 6.615443945023100e-03 2.781750327157917e-01 3.846287241004186e-07
8.453381948780869e-05 4.383546313113363e-01 2.667850663959166e-02 2.690675538155508e-01 6.048292318467310e-06
1.427808370142447e-04 7.403063177345499e-01 7.431813547934493e-02 2.589759788541222e-01 4.471795879474329e-05
2.170078137750941e-04 1.124780601314649e+00 1.669074739112718e-01 2.486406921298797e-01 2.115274855986984e-04
3.077819081407362e-04 1.593912181611315e+00 3.249395163529989e-01 2.380092287061632e-01 7.408701319817946e-04
4.156702127537937e-04 2.148568636179321e+00 5.700385143238729e-01 2.262442165742402e-01 2.085514823428185e-03
5.275290387434239e-04 2.717918867902522e+00 8.794886986572366e-01 2.139386103514710e-01 4.574179300730613e-03
6.433579417870483e-04 3.298192924991181e+00 1.245270585156588e+00 2.011223704742207e-01 8.554758821811920e-03
7.631564617923692e-04 3.884810062158415e+00 1.655226827526599e+00 1.885427770085993e-01 1.432665449763796e-02
8.869241228990354e-04 4.472661471036921e+00 2.094180198292009e+00 1.771372574347257e-01 2.212984198125212e-02
1.014660433480419e-03 5.056451911678452e+00 2.545676801746448e+00 1.676218603369821e-01 3.214303054052793e-02
1.146364886145945e-03 5.631040719012941e+00 2.993814027704709e+00 1.603003685592529e-01 4.448689987502570e-02
1.282036957742871e-03 6.191734746573503e+00 3.424725753795720e+00 1.550725200160297e-01 5.922935787049043e-02
1.421676109358172e-03 6.734504325216657e+00 3.827505553481124e+00 1.515579614006167e-01 7.639089803802540e-02
1.565281786321093e-03 7.256111921581341e+00 4.194546751238520e+00 1.492505603687612e-01 9.594917818573645e-02
1.712853418205151e-03 7.754158045599447e+00 4.521409574438359e+00 1.476467474525996e-01 1.178427239763971e-01
1.864390418830353e-03 8.227058594739763e+00 4.806380683700941e+00 1.463252663909236e-01 1.419741144554630e-01
2.019892186265637e-03 8.673972360172826e+00 5.049886987171329e+00 1.449799005488983e-01 1.682131521113594e-01
2.179358102831097e-03 9.094697867056887e+00 5.253889874528864e+00 1.434184057501854e-01 1.964004428192719e-01
2.342787535100643e-03 9.489556436934050e+00 5.421340355264316e+00 1.415428133242809e-01 2.263516148627094e-01
2.510179833904336e-03 9.859274626459758e+00 5.555734622444644e+00 1.393234077524921e-01 2.578621850813868e-01
2.681534334331159e-03 1.020487510228769e+01 5.660779376888015e+00 1.367741939839618e-01 2.907129054278092e-01
2.856850355731466e-03 1.052758125227852e+01 5.740157862435210e+00 1.339333436770695e-01 3.246753184000326e-01
3.036127201719752e-03 1.082873781580348e+01 5.797378905055401e+00 1.308494007528320e-01 3.595172228917295e-01
3.219364160177429e-03 1.110974766113810e+01 5.835689092762821e+00 1.275727190458525e-01 3.950077778268206e-01
3.406560503255829e-03 1.137202346701563e+01 5.858029986556551e+00 1.241508607868021e-01 4.309220311249165e-01
3.597715487378639e-03 1.161695235784891e+01 5.867025550274359e+00 1.206264783200133e-01 4.670447386844278e-01
3.792828353245237e-03 1.184587128591009e+01 5.864988585066998e+00 1.170365863189799e-01 5.031734139247044e-01
3.991898325833909e-03 1.206005100113278e+01 5.853938304436406e+00 1.134128186397969e-01 5.391206080647862e-01
4.194924614404183e-03 1.226068665968499e+01 5.835623791826576e+00 1.097821955737065e-01 5.747154657437948e-01
4.401906412500711e-03 1.244889339745050e+01 5.811549864470047e+00 1.061677669418665e-01 6.098046271124529e-01
4.612842897956049e-03 1.262570548053014e+01 5.783003099152753e+00 1.025889712050064e-01 6.442525627571307e-01
4.827733232894094e-03 1.279207792113261e+01 5.751076715418375e+00 9.906213284430068e-02 6.779414392767986e-01
5.046576563733418e-03 1.294888970480265e+01 5.716693676184331e+00 9.560124778411523e-02 7.107706163724941e-01
5.269372021190488e-03 1.309694798910353e+01 5.680627857250727e+00 9.221822511105324e-02 7.426558686505633e-01
5.496118720283327e-03 1.323699280719256e+01 5.643523377295635e+00 8.892279893733675e-02 7.735284104182846e-01
5.726815760335069e-03 1.336970193869813e+01 5.605912077501672e+00 8.572259226495364e-02 8.033337910965686e-01
5.961462224977065e-03 1.349569571382857e+01 5.568228983411309e+00 8.262349425644108e-02 8.320307155921967e-01
6.200057182153218e-03 1.361554160994985e+01 5.530825845109840e+00 7.962981830870954e-02 8.595898232732729e-01
6.442599684123196e-03 1.372975856205608e+01 5.493983074576983e+00 7.674461218560544e-02 8.859924574123358e-01
6.689088767466322e-03 1.383882096092804e+01 5.457920219909257e+00 7.396980040958050e-02 9.112294730140451e-01
